Dates,Susceptible,VaccinatedSusceptible,Infected,VaccinatedInfected,Hospitalized,VaccinatedHospitalized,Recovered,Extinct
01/09/2020,0.999521739,0,0.000141304,0,2.17E-06,0,0.000334783,0
02/09/2020,0.999520652,0,0.000132609,0,2.17E-06,0,0.000344565,0
03/09/2020,0.999519565,0,0.000128261,0,2.17E-06,0,0.00035,0
04/09/2020,0.999515217,0,0.000121739,0,0,0,0.000363043,0
05/09/2020,0.99951413,0,0.000115217,0,0,0,0.000370652,0
06/09/2020,0.99951413,0,0.00011087,0,0,0,0.000375,0
07/09/2020,0.999513043,0,0.000104348,0,0,0,0.000382609,0
08/09/2020,0.99951087,0,9.89E-05,0,0,0,0.000390217,0
09/09/2020,0.999508696,0,8.91E-05,0,0,0,0.000402174,0
10/09/2020,0.999506522,0,8.59E-05,0,0,0,0.000407609,0
11/09/2020,0.999502174,0,7.93E-05,0,0,0,0.000418478,0
12/09/2020,0.999497826,0,7.61E-05,0,0,0,0.000426087,0
13/09/2020,0.999497826,0,7.39E-05,0,0,0,0.000428261,0
14/09/2020,0.999491304,0,7.39E-05,0,1.09E-06,0,0.000433696,0
15/09/2020,0.999482609,0,7.17E-05,0,1.09E-06,0,0.000444565,0
16/09/2020,0.999473913,0,7.28E-05,0,1.09E-06,0,0.000452174,0
17/09/2020,0.999465217,0,6.96E-05,0,2.17E-06,0,0.000463043,0
18/09/2020,0.999453261,0,7.83E-05,0,2.17E-06,0,0.000466304,0
19/09/2020,0.999444565,0,8.48E-05,0,2.17E-06,0,0.000468478,0
20/09/2020,0.999434783,0,9.02E-05,0,4.35E-06,0,0.000470652,0
21/09/2020,0.999427174,0,9.57E-05,0,4.35E-06,0,0.000472826,0
22/09/2020,0.99941413,0,0.000106522,0,5.43E-06,0,0.000473913,0
23/09/2020,0.999388043,0,0.000128261,0,6.52E-06,0,0.000477174,0
24/09/2020,0.999378261,0,0.000132609,0,8.70E-06,0,0.000480435,0
